Title,Authors,PaperURL,Github1,Github2,Github3,Website1,Website2,Video1,Video2,Video3,Venue,Year,FigureID1,FigureID2,FigureID3,WhoAdded
"Diffusion-based Generation, Optimization, and Planning in 3D Scenes","Siyuan Huang, Zan Wang, Puhao Li, Baoxiong Jia, Tengyu Liu, Yixin Zhu, Wei Liang, Song-Chun Zhu",https://arxiv.org/abs/2301.06015,,,,https://scenediffuser.github.io/,,,,,arxiv,2023,1.jpg,2.jpg,,
VIMA: General Robot Manipulation with Multimodal Prompts,"Yunfan Jiang, Agrim Gupta, Zichen Zhang, Guanzhi Wang, Yongqiang Dou, Yanjun Chen, Li Fei-Fei, Anima Anandkumar, Yuke Zhu, Linxi Fan",https://arxiv.org/abs/2210.03094,,,,,,,,,arxiv,2022,1.jpg,3.jpg,,
Deep Hierarchical Planning from Pixels,"Danijar Hafner, Kuang-Huei Lee, Ian Fischer, Pieter Abbeel",https://arxiv.org/abs/2206.04114,https://github.com/danijar/director,,,https://danijar.com/project/director/,,https://www.youtube.com/watch?v=xDUAOyXiRKQ,,,NeurIPS,2022,1.jpg,2.jpg,,
TERP: Reliable Planning in Uneven Outdoor Environments using Deep Reinforcement Learning,"Kasun Weerakoon, Adarsh Jagan Sathyamoorthy, Utsav Patel, and Dinesh Manocha",https://arxiv.org/abs/2109.05120,,,,https://gamma.umd.edu/researchdirections/crowdmultiagent/terp,,,,,ICRA,2021,2.jpg,3.jpg,,
Average-Reward Learning and Planning with Options,"Yi Wan, Abhishek Naik, Richard S. Sutton",https://arxiv.org/abs/2110.13855,,,,,,,,,arxiv,2021,,,,
World Model as a Graph: Learning Latent Landmarks for Planning,"Lunjun Zhang, Ge Yang, Bradly Stadie",https://arxiv.org/abs/2011.12491,,,,https://sites.google.com/view/latent-landmarks/,,,,,ICML,2020,1.jpg,2.jpg,,
Long-Horizon Visual Planning with Goal-Conditioned Hierarchical Predictors,"*Karl Pertsch,*Oleh Rybkin,Frederik Ebert,Chelsea Finn,Dinesh Jayaraman,Sergey Levine",https://arxiv.org/abs/2006.13205,https://github.com/orybkin/video-gcp,,,https://orybkin.github.io/video-gcp/,,https://www.youtube.com/watch?v=bbIQepxyaVw,,,NeurIPS,2020,3.jpg,4.jpg,,
Efficient Planning in a Compact Latent Action Space,"Danijar Hafner, Kuang-Huei Lee, Ian Fischer, Pieter Abbeel",https://arxiv.org/abs/2208.10291,https://github.com/ZhengyaoJiang/latentplan,,,,,,,,arxiv,2022,1.jpg,2.jpg,,
Transformers are Sample Efficient World Models,"Vincent Micheli, Eloi Alonso, François Fleuret",https://arxiv.org/abs/2209.00588,https://github.com/eloialonso/iris,,,https://www.deepmind.com/publications/a-generalist-agent,,,,,arxiv,2022,1,2,,
A Generalist Agent,"Zhengyao Jiang, Tianjun Zhang, Michael Janner, Yueying Li, Tim Rocktäschel, Edward Grefenstette, Yuandong Tian",https://arxiv.org/abs/2205.06175,,,,,,,,,arXiv,2022,2,3,,
Learning Space Partitions for Path Planning,"Kevin Yang, Tianjun Zhang, Chris Cummins, Brandon Cui, Benoit Steiner, Linnan Wang, Joseph E. Gonzalez, Dan Klein, Yuandong Tian",https://arxiv.org/abs/2106.10544,https://github.com/yangkevin2/neurips2021-lap3,,,,,,,,NeurIPS,2022,1.jpg,3.jpg,,
Toward Discovering Options that Achieve Faster Planning,"Yi Wan, Richard S. Sutton",https://arxiv.org/abs/2205.12515,,,,,,,,,arxiv,2022,2,4,,
